Time[ms]; PeakValue; HR[bpm]
833;1;170,1492
867;1;171
900;0;170,5263
933;0;170,5263
967;0;170,5263
1000;0;170,5263
1033;0;170,5263
1067;0;170,5263
1100;0;170,1492
1133;0;170,1492
1167;0;170,1492
1200;1;170,1492
1233;0;168,75
1267;0;168,75
1300;0;168,75
1333;0;168,75
1367;0;168,75
1400;0;168,75
1433;0;169,3069
1467;0;169,3069
1500;1;169,3069
1533;0;169,6335
1567;0;169,6335
1600;0;169,6335
1633;0;169,6335
1667;0;169,6335
1700;0;169,6335
1733;0;169,6335
1767;0;169,6335
1800;0;169,6335
1833;0;168,4729
1867;1;168,4729
1900;0;167,8756
1933;0;167,8756
1967;0;167,8756
2000;0;167,8756
2033;0;167,8756
2067;0;167,8756
2100;0;167,8756
2133;0;167,8756
2167;0;167,8756
2200;1;167,6471
2233;0;167,8756
2267;0;167,8756
2300;0;167,8756
2333;0;167,8756
2367;0;167,8756
2400;0;167,8756
2433;0;167,8756
2467;0;167,8756
2500;0;167,8756
2533;0;167,8756
2567;1;167,6471
2600;0;167,0103
2633;0;167,0103
2667;0;167,0103
2700;0;167,0103
2733;0;167,0103
2767;0;167,0103
2800;0;167,0103
2833;0;167,0103
2867;0;167,0103
2900;1;167,0103
2933;0;166,1538
2967;0;166,1538
3000;0;166,1538
3033;0;166,1538
3067;0;166,1538
3100;0;166,1538
3133;0;166,1538
3167;0;166,1538
3200;0;166,1538
3233;1;166,1538
3267;0;166,3044
3300;0;166,1538
3333;0;166,1538
3367;0;166,1538
3400;0;166,1538
3433;0;166,1538
3467;0;166,1538
3500;0;166,1538
3533;0;166,1538
3567;0;166,1538
3600;1;166,1538
3633;0;165,4054
3667;0;165,3061
3700;0;165,3061
3733;0;165,3061
3767;0;165,3061
3800;0;165,3061
3833;0;165,3061
3867;0;165,3061
3900;0;165,3061
3933;1;165,3061
3967;0;165,4054
4000;0;165,4054
4033;0;165,3061
4067;0;165,3061
4100;0;165,3061
4133;0;165,3061
4167;0;165,3061
4200;0;165,3061
4233;0;165,3061
4267;0;165,3061
4300;1;165,3061
4333;0;165,4054
4367;0;165,4054
4400;0;165,3061
4433;0;165,3061
4467;0;165,3061
4500;0;165,3061
4533;0;165,3061
4567;0;165,3061
4600;0;165,3061
4633;0;165,3061
4667;1;165,3061
4700;0;167,0103
4733;0;167,0103
4767;0;167,0103
4800;0;167,0103
4833;0;167,0103
4867;0;157,732
4900;0;157,732
4933;0;157,732
4967;0;158,5492
5000;0;158,5492
5033;1;158,5492
5067;0;158,2418
5100;0;158,2418
5133;0;156,1225
5167;0;156,1225
5200;0;156,1225
5233;0;156,1225
5267;0;156,1225
