Time[ms]; PeakValue; HR[bpm]
833;0;77,83784
867;0;75,90362
900;0;76,59574
933;0;76,59574
967;0;77,83784
1000;0;77,83784
1033;0;77,83784
1067;0;77,83784
1100;0;77,83784
1133;0;77,83784
1167;0;77,83784
1200;0;77,83784
1233;0;77,83784
1267;0;77,83784
1300;0;77,83784
1333;0;77,83784
1367;0;77,83784
1400;0;77,83784
1433;1;77,83784
1467;0;79,24529
1500;0;79,24529
1533;0;79,24529
1567;0;79,24529
1600;0;78,68852
1633;0;78,68852
1667;0;78,68852
1700;0;78,68852
1733;0;78,68852
1767;0;78,68852
1800;0;78,68852
1833;0;78,68852
1867;0;78,68852
1900;0;78,68852
1933;0;78,68852
1967;0;78,68852
2000;0;78,68852
2033;0;78,68852
2067;0;78,68852
2100;0;78,68852
2133;0;78,68852
2167;0;78,68852
2200;0;78,68852
2233;0;78,68852
2267;0;78,68852
2300;1;78,68852
2333;0;79,74683
2367;0;79,74683
2400;0;79,74683
2433;0;79,74683
2467;0;78,26087
2500;0;78,26087
2533;0;78,26087
2567;0;78,26087
2600;0;78,26087
2633;0;78,26087
2667;0;78,26087
2700;0;78,26087
2733;0;78,26087
2767;0;78,26087
2800;0;78,26087
2833;0;78,26087
2867;0;78,26087
2900;0;78,26087
2933;0;78,26087
2967;0;78,26087
3000;0;78,26087
3033;0;78,26087
3067;0;78,26087
3100;0;78,26087
3133;1;78,26087
3167;0;78,75
3200;0;78,75
3233;0;78,75
3267;0;78,75
3300;0;78,75
3333;0;78,75
3367;0;78,75
3400;0;76,59574
3433;0;76,59574
3467;0;76,59574
3500;0;76,59574
3533;0;76,59574
3567;0;76,59574
3600;0;76,59574
3633;0;76,59574
3667;0;76,59574
3700;0;76,59574
3733;0;76,59574
3767;0;76,59574
3800;0;76,59574
3833;0;76,59574
3867;0;76,59574
3900;0;76,59574
3933;1;76,59574
3967;0;77,30061
4000;0;77,30061
4033;0;77,30061
4067;0;77,30061
4100;0;77,30061
4133;0;77,30061
4167;0;77,30061
4200;0;77,30061
4233;0;77,30061
4267;0;76,19048
4300;0;76,19048
4333;0;76,19048
4367;0;76,19048
4400;0;76,19048
4433;0;76,19048
4467;0;76,19048
4500;0;76,19048
4533;0;76,19048
4567;0;76,19048
4600;0;76,19048
4633;0;76,19048
4667;0;76,19048
4700;0;76,19048
4733;0;76,19048
4767;1;76,19048
4800;0;75,90362
4833;0;75,90362
4867;0;75,90362
4900;0;75,90362
4933;0;75,90362
4967;0;75,90362
5000;0;75,90362
5033;0;75,90362
5067;0;75,90362
5100;0;75,90362
5133;0;75,90362
5167;0;74,6114
5200;0;75,90362
5233;0;75,90362
5267;0;73,46939
5300;0;73,46939
5333;0;73,46939
5367;0;73,46939
5400;0;73,46939
5433;0;73,46939
5467;0;73,46939
5500;0;73,46939
5533;1;73,46939
5567;0;72
5600;0;72
5633;0;72
5667;0;72
5700;0;72
5733;0;72
5767;0;72
5800;0;72
5833;0;72
5867;0;72
5900;0;72
5933;0;72
5967;0;72
6000;0;72
6033;0;72
6067;0;72
6100;0;72
6133;0;72
6167;0;72
6200;0;72
6233;1;70,58823
6267;0;69,23077
6300;0;69,23077
6333;0;69,23077
6367;0;69,23077
6400;0;69,23077
6433;0;69,23077
6467;0;69,23077
6500;0;69,23077
6533;0;69,23077
6567;0;69,23077
6600;0;69,23077
6633;0;69,23077
6667;0;69,23077
6700;0;69,23077
6733;0;69,23077
6767;0;69,23077
6800;0;69,23077
6833;0;69,23077
6867;0;69,23077
6900;0;69,23077
6933;0;69,23077
6967;1;69,23077
7000;0;66,25767
7033;0;66,25767
7067;0;66,25767
7100;0;66,25767
7133;0;66,31579
7167;0;66,31579
7200;0;66,31579
7233;0;66,31579
7267;0;66,31579
7300;0;66,31579
7333;0;66,31579
7367;0;66,31579
7400;0;66,31579
7433;0;66,31579
7467;0;66,31579
7500;0;66,31579
7533;0;66,31579
7567;0;66,31579
7600;1;66,31579
7633;0;65,06024
7667;0;65,06024
7700;0;65,06024
7733;0;65,06024
7767;0;65,06024
7800;0;65,06024
7833;0;65,06024
7867;0;65,06024
7900;0;65,06024
7933;0;65,06024
7967;0;65,96859
8000;0;65,96859
8033;0;65,96859
8067;0;65,96859
8100;0;65,96859
8133;0;65,96859
8167;0;65,96859
8200;0;65,96859
8233;0;65,96859
8267;0;65,96859
8300;0;65,96859
8333;0;65,96859
8367;0;65,96859
8400;1;65,96859
8433;0;65,45454
8467;0;65,45454
8500;0;65,45454
8533;0;65,45454
8567;0;65,45454
8600;0;65,45454
8633;0;65,45454
8667;0;65,45454
8700;0;65,45454
8733;0;65,45454
8767;0;65,45454
8800;0;66,31579
8833;0;66,31579
8867;0;66,31579
8900;0;66,31579
8933;0;66,31579
8967;0;66,31579
9000;0;66,31579
9033;0;66,31579
9067;0;66,31579
9100;0;66,31579
9133;0;66,31579
9167;0;66,31579
9200;0;66,31579
9233;0;66,31579
9267;1;66,31579
9300;0;66,66666
9333;0;66,66666
9367;0;66,66666
9400;0;66,66666
9433;0;66,66666
9467;0;66,66666
9500;0;66,66666
9533;0;66,66666
9567;0;66,66666
9600;0;66,66666
9633;0;66,66666
9667;0;66,66666
9700;0;66,66666
9733;0;66,66666
9767;0;66,66666
9800;0;66,66666
9833;0;65,28497
9867;0;65,28497
9900;0;65,28497
9933;0;65,28497
9967;0;65,28497
10000;0;65,28497
10033;0;65,28497
10067;0;65,28497
10100;0;65,28497
10133;0;65,28497
10167;0;65,28497
10200;1;65,28497
10233;0;64,67066
10267;0;64,67066
10300;0;64,67066
10333;0;64,67066
10367;0;64,67066
10400;0;64,67066
10433;0;64,67066
10467;0;64,67066
10500;0;64,67066
10533;0;64,67066
10567;0;64,67066
10600;0;64,67066
10633;0;64,67066
10667;0;64,67066
10700;0;64,67066
10733;0;64,94846
10767;0;64,94846
10800;0;64,94846
10833;0;64,94846
10867;0;64,94846
10900;0;64,94846
10933;0;64,94846
10967;0;64,94846
11000;0;64,94846
11033;0;64,94846
11067;1;64,94846
11100;0;64,67066
11133;0;64,67066
11167;0;64,67066
11200;0;64,67066
11233;0;64,67066
11267;0;64,67066
11300;0;64,67066
11333;0;64,67066
11367;0;64,67066
11400;0;64,67066
11433;0;64,67066
11467;0;64,67066
11500;0;64,67066
11533;0;64,67066
11567;0;64,67066
11600;0;64,67066
11633;0;64,67066
11667;0;64,67066
11700;0;64,67066
11733;0;64,67066
11767;0;64,67066
11800;0;63,31658
11833;0;63,31658
11867;0;63,31658
11900;0;63,31658
11933;0;63,31658
11967;1;63,31658
12000;0;64,67066
12033;0;64,67066
12067;0;64,67066
12100;0;64,67066
12133;0;64,67066
12167;0;64,67066
12200;0;64,67066
12233;0;64,67066
12267;0;64,67066
12300;0;64,67066
12333;0;64,67066
12367;0;64,67066
12400;0;64,67066
12433;0;64,67066
12467;0;64,67066
12500;0;64,67066
12533;0;64,67066
12567;0;64,67066
12600;0;64,67066
12633;0;64,67066
12667;0;64,67066
12700;0;64,67066
12733;0;64,67066
12767;0;64,67066
12800;0;64,67066
12833;0;64,67066
12867;0;64,67066
12900;0;64,67066
12933;0;62,68657
12967;0;62,68657
13000;0;62,68657
13033;1;62,68657
13067;0;61,71429
13100;0;61,71429
13133;0;61,71429
13167;0;61,71429
13200;0;61,71429
13233;0;61,71429
13267;0;61,71429
13300;0;61,71429
13333;0;61,71429
13367;0;61,71429
13400;0;61,71429
13433;0;61,71429
13467;0;61,71429
13500;0;61,71429
13533;0;61,71429
13567;0;61,71429
13600;0;61,71429
13633;0;61,71429
13667;0;61,71429
13700;0;61,71429
13733;0;61,71429
13767;0;61,71429
13800;0;61,71429
13833;0;61,71429
13867;0;61,71429
13900;1;61,71429
13933;0;60,33519
13967;0;60,33519
14000;0;60,33519
14033;0;60,33519
14067;0;60,33519
14100;0;60,33519
14133;0;60,33519
14167;0;60,33519
14200;0;60,33519
14233;0;60,33519
14267;0;60,33519
14300;0;60,33519
14333;0;60,33519
14367;0;60,33519
14400;0;60,33519
14433;0;60,33519
14467;0;60,33519
14500;0;60,33519
14533;0;60,33519
14567;0;60,33519
14600;0;60,33519
14633;0;60,33519
14667;0;60,33519
14700;0;60,33519
14733;0;60,33519
14767;1;60,33519
14800;0;59,21053
14833;0;59,21053
14867;0;59,21053
14900;0;59,21053
14933;0;59,21053
14967;0;59,01639
15000;0;59,01639
15033;0;58,69565
15067;0;58,69565
15100;0;58,69565
15133;0;58,69565
15167;0;58,69565
15200;0;58,69565
15233;0;58,69565
15267;0;58,69565
15300;0;58,69565
15333;0;58,69565
15367;0;58,69565
15400;0;58,69565
15433;0;58,69565
15467;0;58,69565
15500;0;58,69565
15533;0;58,69565
15567;0;58,69565
15600;0;58,69565
15633;0;58,69565
15667;1;58,69565
15700;0;58,06452
15733;0;58,06452
15767;0;58,06452
15800;0;58,06452
15833;0;58,06452
15867;0;58,06452
15900;0;58,06452
15933;0;58,06452
15967;0;58,06452
16000;0;58,06452
16033;0;58,06452
16067;0;57,75401
16100;0;57,75401
16133;0;57,75401
16167;0;57,75401
16200;0;57,75401
16233;0;57,75401
16267;0;57,75401
16300;0;57,75401
16333;0;57,75401
16367;0;57,75401
16400;0;57,75401
16433;0;57,75401
16467;0;57,75401
16500;0;57,75401
16533;0;57,75401
16567;0;57,75401
16600;0;57,75401
16633;1;57,75401
16667;0;56,25
16700;0;56,25
16733;0;56,25
16767;0;56,25
16800;0;56,25
16833;0;56,25
16867;0;56,25
16900;0;56,25
16933;0;56,25
16967;0;56,25
17000;0;57,44681
17033;0;57,44681
17067;0;57,44681
17100;0;57,44681
17133;0;57,44681
17167;0;57,44681
17200;0;57,44681
17233;0;57,44681
17267;0;57,44681
17300;0;57,44681
17333;0;57,44681
17367;0;57,44681
17400;0;57,44681
17433;0;57,44681
17467;0;57,44681
17500;0;57,44681
17533;1;57,44681
17567;0;57,69231
17600;0;57,69231
17633;0;57,69231
17667;0;57,69231
17700;0;57,69231
17733;0;57,69231
17767;0;57,69231
17800;0;57,69231
17833;0;57,69231
17867;0;57,69231
17900;0;57,69231
17933;0;57,69231
17967;0;57,69231
18000;0;58,06452
18033;0;58,06452
18067;0;58,06452
18100;0;58,06452
18133;0;58,06452
18167;0;58,06452
18200;0;58,06452
18233;0;58,06452
18267;0;58,06452
18300;0;58,06452
18333;0;58,06452
18367;0;58,06452
18400;0;58,06452
18433;0;58,06452
18467;0;58,06452
18500;0;58,06452
18533;0;58,06452
18567;0;58,06452
18600;1;58,06452
18633;0;59,21053
18667;0;59,21053
18700;0;59,21053
18733;0;59,21053
18767;0;59,21053
18800;0;59,21053
18833;0;59,21053
18867;0;59,21053
18900;0;59,21053
18933;0;59,21053
18967;0;59,66851
19000;0;59,66851
19033;0;59,66851
19067;0;59,66851
19100;0;59,66851
19133;0;59,66851
19167;0;59,66851
19200;0;59,66851
19233;0;59,66851
19267;0;59,66851
19300;0;59,66851
19333;0;59,66851
19367;0;59,66851
19400;0;59,66851
19433;0;59,66851
19467;0;59,66851
19500;0;59,66851
19533;0;59,66851
19567;0;59,66851
19600;0;59,66851
19633;0;59,66851
19667;0;59,66851
19700;0;59,66851
19733;1;59,66851
19767;0;59,60265
19800;0;59,60265
19833;0;59,60265
19867;0;60,67416
19900;0;60,67416
19933;0;60,67416
19967;0;60,67416
20000;0;60,67416
20033;0;60,67416
20067;0;60,67416
20100;0;60,67416
20133;0;60,67416
20167;0;60,67416
20200;0;60,67416
20233;0;60,67416
20267;0;60,67416
20300;0;60,67416
20333;0;60,67416
20367;0;60,67416
20400;0;60,67416
20433;0;60,67416
20467;0;60,67416
20500;0;60,67416
20533;0;60,67416
20567;0;60,67416
20600;0;60,67416
20633;0;60,67416
20667;0;60,67416
20700;0;60,67416
20733;1;60,67416
20767;0;62,42775
20800;0;62,42775
20833;0;62,42775
20867;0;62,42775
20900;0;62,42775
20933;0;62,42775
20967;0;62,42775
21000;0;62,42775
21033;0;62,42775
21067;0;62,42775
21100;0;62,42775
21133;0;62,42775
21167;0;62,42775
21200;0;62,42775
21233;0;62,42775
21267;0;62,42775
21300;0;62,42775
21333;0;62,42775
21367;0;62,42775
21400;0;62,42775
21433;0;62,42775
21467;0;62,42775
21500;0;62,42775
21533;0;62,42775
21567;0;62,42775
21600;0;62,42775
21633;0;62,42775
21667;0;62,42775
21700;0;62,42775
21733;0;62,37624
21767;0;62,37624
21800;1;62,37624
21833;0;63,52941
21867;0;63,52941
21900;0;63,52941
21933;0;63,52941
21967;0;63,52941
22000;0;63,52941
22033;0;63,52941
22067;0;63,52941
22100;0;63,52941
22133;0;63,52941
22167;0;63,52941
22200;0;63,52941
22233;0;63,52941
22267;0;63,52941
22300;0;63,52941
22333;0;63,52941
22367;0;63,52941
22400;0;63,52941
22433;0;63,52941
22467;0;63,52941
22500;0;63,52941
22533;0;63,52941
22567;0;63,52941
22600;0;63,52941
22633;0;63,52941
22667;0;63,52941
22700;0;63,52941
22733;0;63,52941
22767;0;63,52941
22800;0;62,37624
22833;0;62,37624
22867;1;62,37624
22900;0;62,06897
22933;0;62,06897
22967;0;61,71429
23000;0;61,71429
23033;0;61,71429
23067;0;61,71429
23100;0;61,71429
23133;0;61,71429
23167;0;61,71429
23200;0;61,71429
23233;0;61,71429
23267;0;61,71429
23300;0;61,71429
23333;0;61,71429
23367;0;61,71429
23400;0;61,71429
23433;0;61,71429
