Time[ms]; PeakValue; HR[bpm]
833;0;81,81818
867;0;81,81818
900;0;81,81818
933;0;81,81818
967;0;81,81818
1000;0;81,81818
1033;0;81,81818
1067;0;81
1100;0;81
1133;0;81
1167;0;81
1200;1;81
1233;0;80
1267;0;80
1300;0;80
1333;0;80
1367;0;80
1400;0;80
1433;0;80
1467;0;80
1500;0;80
1533;0;80
1567;0;80
1600;0;80
1633;0;80
1667;0;80
1700;0;80
1733;0;80
1767;0;80
1800;0;80
1833;0;80
1867;1;79,41177
1900;0;77,83784
1933;0;77,83784
1967;0;77,83784
2000;0;77,83784
2033;0;77,83784
2067;0;77,83784
2100;0;77,83784
2133;0;77,83784
2167;0;77,83784
2200;0;77,83784
2233;0;77,83784
2267;0;77,83784
2300;0;77,83784
2333;0;77,83784
2367;0;77,83784
2400;0;77,83784
2433;0;77,83784
2467;0;77,83784
2500;1;77,83784
2533;0;76,36364
2567;0;76,36364
2600;0;76,36364
2633;0;76,36364
2667;0;76,19048
2700;0;76,19048
2733;0;76,19048
2767;0;76,19048
2800;0;76,19048
2833;0;76,19048
2867;0;76,19048
2900;0;76,19048
2933;0;76,19048
2967;0;76,19048
3000;0;76,19048
3033;0;76,19048
3067;0;76,19048
3100;0;76,19048
3133;0;76,19048
3167;1;76,19048
3200;0;75
3233;0;75
3267;0;75
3300;0;75
3333;0;75
3367;0;75
3400;0;75
3433;0;75,39267
3467;0;75,39267
3500;0;75,39267
3533;0;75,39267
3567;0;75,39267
3600;0;75,39267
3633;0;75,39267
3667;0;75,39267
3700;0;75
3733;0;75
3767;0;75
3800;0;75
3833;0;75
3867;1;75
3900;0;74,55621
3933;0;74,55621
3967;0;74,55621
4000;0;74,55621
4033;0;74,55621
4067;0;74,55621
4100;0;74,55621
4133;0;74,55621
4167;0;74,55621
4200;0;74,55621
4233;0;74,55621
4267;0;74,55621
4300;0;74,22681
4333;0;74,22681
4367;0;74,22681
4400;0;74,22681
4433;0;74,22681
4467;0;74,22681
4500;0;74,22681
4533;0;74,22681
4567;0;74,22681
4600;0;74,22681
4633;1;74,22681
4667;0;74,11765
4700;0;73,68421
4733;0;73,68421
4767;0;73,68421
4800;0;73,68421
4833;0;73,68421
4867;0;73,68421
4900;0;73,68421
4933;0;73,68421
4967;0;73,68421
5000;0;73,68421
5033;0;73,68421
5067;0;73,68421
5100;0;73,68421
5133;0;73,68421
5167;0;73,46939
5200;0;73,46939
5233;0;73,46939
5267;0;73,46939
5300;0;73,46939
5333;0;73,46939
5633;0;74,11765
5667;0;74,11765
5700;0;74,11765
5733;0;74,11765
5767;0;74,11765
5800;0;74,11765
5833;0;74,11765
5867;0;74,11765
5900;0;74,11765
5933;0;74,11765
5967;0;74,11765
6000;0;73,84615
6033;0;73,84615
6067;0;73,84615
6100;0;73,84615
6133;0;73,84615
6167;0;73,84615
6200;0;73,84615
6233;0;73,84615
6267;0;73,84615
6300;1;73,84615
6333;0;73,25581
6367;0;73,25581
6400;0;73,25581
6433;0;73,25581
6467;0;73,25581
6500;0;73,25581
6533;0;73,25581
6567;0;73,25581
6600;0;73,25581
6633;0;73,25581
6667;0;73,25581
6700;0;73,25581
6733;0;73,25581
6767;0;73,25581
6800;0;73,25581
6833;0;73,25581
6867;0;73,25581
6900;0;73,25581
6933;0;73,25581
6967;0;73,25581
7000;0;72,83237
7033;0;70,93596
7067;1;70,93596
7100;0;70,39106
7133;0;70,39106
7167;0;70,39106
7200;0;70,39106
7233;0;70,39106
7267;0;70,39106
7300;0;70,39106
7333;0;70,39106
7367;0;70,39106
7400;0;70,39106
7433;0;70,39106
7467;0;70,39106
7500;0;70,39106
7533;0;70,39106
7567;0;70,39106
7600;0;70,39106
7633;0;70,39106
7667;0;70,39106
7700;0;70,39106
7733;0;70,39106
7767;0;70,39106
7800;0;70,39106
7833;0;70,93596
7867;1;70,93596
7900;0;70,39106
7933;0;70,39106
7967;0;70,39106
8000;0;70,39106
8033;0;70,39106
8067;0;70,39106
8100;0;70,39106
8133;0;70,39106
8167;0;70,39106
8200;0;70,39106
8233;0;70,39106
8267;0;70,39106
8300;0;70,39106
8333;0;70,39106
8367;0;70,39106
8400;0;70,39106
8433;0;70,39106
8467;0;70,39106
8500;0;70,39106
8533;0;70,39106
8567;0;70,39106
8600;0;71,28713
8633;0;71,28713
8667;1;71,28713
8700;0;70,78651
8733;0;70,78651
8767;0;70,78651
8800;0;70,78651
8833;0;70,78651
8867;0;70,78651
8900;0;70,78651
8933;0;70,78651
8967;0;70,78651
9000;0;70,78651
9033;0;70,78651
9067;0;70,78651
9100;0;70,78651
9133;0;70,78651
9167;0;70,78651
9200;0;70,78651
9233;0;71,18644
9267;0;72,72727
9300;0;72,72727
9333;0;72,72727
9367;0;72,72727
9400;0;72,72727
9433;0;72,72727
9467;1;72,72727
9500;0;72,4138
9533;0;72,4138
9567;0;72,4138
9600;0;72,4138
9633;0;72,4138
9667;0;72,4138
9700;0;72,4138
9733;0;72,4138
